Genes,Chromosome,Start,End,Nclone,Array.129,Array.34,Array.67,Array.24,Array.22,Array.36,Array.49,Array.16,Array.146,Array.143,Array.65,Array.62,Array.4,Array.76,Array.118,Array.154,Array.48,Array.6,Array.39,Array.86,Array.112,Array.79,Array.124,Array.19,Array.27,Array.106,Array.110,Array.69,Array.73,Array.95,Array.98,Array.17,Array.33,Array.138,Array.149,Array.101,Array.90,Array.99,Array.57,Array.105,Array.85,Array.114,Array.56,Array.5,Array.8,Array.113,Array.148,Array.42,Array.25,Array.102,Array.55,Array.141,Array.43,Array.159,Array.52,Array.88,Array.125,Array.152,Array.50,Array.23,Array.68,Array.94,Array.153,Array.51,Array.142,Array.144,Array.37,Array.78,Array.18,Array.82,Array.75,Array.139,Array.2,Array.117,Array.60,Array.38,Array.72,Array.104,Array.137,Array.145,Array.31,Array.135,Array.111,Array.7,Array.21,Array.53,Array.59,Array.71,Array.47,Array.107,Array.64,Array.89,Array.30,Array.35,Array.93,Array.10,Array.123,Array.100,Array.134,Array.130
ESR1,6,151923886,152073221,15,-1,-1,-1,-1,-1,0,0,0,0,0,-1,1,0,-1,0,1,0,0,0,-1,-1,0,0,0,0,0,0,-1,-1,0,-1,0,1,-1,-1,1,0,0,1,0,0,-1,-1,1,0,-1,0,1,0,-1,0,0,-1,-1,-1,0,0,1,1,-1,0,0,-1,1,0,0,0,0,-1,2,0,0,1,-1,-1,-1,0,0,0,0,0,0,1,-1,0,0,-1,0,-1,0,0,0,0,-1,1,-1,-1,0,-1,1
ESR1,6,152086678,152409827,33,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,0,-1,0,1,0,0,0,-1,-1,0,0,0,0,0,0,-1,-1,0,-1,0,0,-1,-1,1,0,0,1,0,0,-1,-1,1,0,-1,0,1,0,-1,0,0,-1,-1,-1,0,0,1,1,-1,0,0,-1,1,0,0,0,0,-1,2,0,0,0,-1,-1,-1,0,0,0,0,0,0,1,-1,0,-1,-1,0,-1,0,0,0,0,-1,1,-1,-1,0,-1,1
ESR1,6,152417607,153905878,133,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,0,-1,0,1,0,0,0,-1,-1,0,0,0,0,0,0,-1,-1,0,-1,0,0,-1,-1,1,0,0,1,0,0,-1,-1,1,0,-1,0,1,0,-1,0,0,-1,-1,-1,-1,0,1,1,-1,0,0,-1,1,0,0,0,0,-1,2,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,1,-1,0,-1,-1,0,-1,0,0,0,0,-1,1,-1,-1,0,-1,1
EGFR,7,54100285,55448490,97,0,0,0,0,0,0,0,-1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,2,-1,0,1,1,0,0,0,-1,0,0,0,-1,0,0,1,0,0,0,0,1,0,0,0,-1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,-1,0,0,1,0,1,0,1,0,0,0,0,0
KMT2C (MLL3),7,151340103,151554620,20,0,0,0,-1,0,0,0,0,0,1,1,1,-1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,-1,0,0,0,0,-1,0,-1,-1,0,0,0,0,-1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,1,1,1,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
KMT2C (MLL3),7,151563552,151568910,2,0,0,0,-1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,-1,0,0,0,0,-1,0,-1,-1,0,0,0,0,-1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,1,1,1,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
KMT2C (MLL3),7,151573687,153083628,75,0,0,0,-1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,-1,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,1,1,1,1,0,1,-1,0,1,0,1,1,0,0,1,0,0,1,0,0,1
CAV1/CAV2,7,112637687,118300098,386,0,0,0,-1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,-1,0,-1,0,0,-1,0,0,-1,0,0,0,0,-1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,1,0,1,0,1,-1,0,1,0,0,0,0,0,1,1,0,1,0,0,1
NBN,8,88534367,91007791,133,0,1,1,1,1,0,2,1,0,1,0,2,1,0,1,1,1,0,0,0,1,0,1,1,0,2,2,2,0,0,1,1,0,0,2,0,1,0,0,0,1,0,0,0,2,-1,1,2,0,2,2,0,2,2,1,1,0,1,1,1,1,0,0,2,0,1,0,1,-1,1,1,1,1,0,0,1,2,0,0,1,2,1,1,1,1,0,2,1,1,0,0,0,1,0,0,0,2,0,1,1
NBN,8,91015577,92330975,109,0,1,1,1,1,0,2,1,0,1,0,1,1,0,1,2,1,0,0,0,1,0,1,1,0,2,2,2,0,0,1,1,0,0,2,0,1,0,0,0,1,0,0,0,2,-1,1,2,0,2,2,0,2,2,1,1,0,1,1,1,1,0,1,2,0,1,0,1,-1,1,1,1,1,0,0,1,1,0,0,1,2,1,1,1,1,0,2,1,1,0,0,0,1,0,0,0,2,0,1,1
IKBKB,8,42191493,42325689,15,-1,-1,-1,0,0,0,1,0,0,-1,0,1,-1,-1,2,0,2,0,0,-1,0,0,2,-1,0,-1,0,-1,0,0,1,1,-1,-1,2,0,-1,0,0,-1,2,-1,0,-1,2,-1,1,1,0,0,-1,0,2,0,2,0,0,1,1,2,-1,0,-1,-1,0,-1,0,-1,-1,1,-1,-1,-1,0,0,2,1,0,0,1,2,1,1,-1,1,0,0,0,0,-1,0,0,1,0,-1,2,0,0,1,0
PTPRD,9,7751878,10013842,181,-1,-1,0,1,0,0,0,0,0,0,-1,0,0,-1,0,-1,-1,0,0,0,0,0,-1,-1,0,0,0,-1,-1,1,1,-1,-1,1,-1,1,0,-1,0,0,-1,-1,-1,0,-1,-1,-1,-1,0,0,0,-1,0,-1,-1,-1,0,1,1,0,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,1,0,0,-1,0,0,0,1,0,1,1,0,1,-1,-1,-1,0,0,1,0,0,0,2,0,-1,0,-1,0
MELK,9,36418729,37260341,73,-1,-1,0,-1,0,0,0,0,0,0,-1,0,-1,-1,0,1,-1,0,0,0,0,0,0,0,0,0,0,-1,0,1,1,-1,-1,-1,-1,1,0,-1,0,1,-1,0,-1,0,-1,-1,0,-1,0,0,0,0,0,-1,-1,-1,0,1,1,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,0,0,-1,0,0,0,1,0,1,0,0,0,-1,-1,-1,-1,0,0,0,0,0,2,0,0,0,-1,0
PTEN,10,89253592,89696646,47,0,-1,0,-1,0,0,0,0,0,0,-1,1,0,-1,0,1,-1,0,0,0,-1,0,0,0,0,-1,1,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,0,-1,0,-1,0,0,-1,0,-1,0,0,-1,-1,0,0,1,0,0,0,0,0,0,1,-1,0,0,0,0,-1,0,0,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,0,0,0,1,-1,0,0,-1,-1
PTEN,10,89707445,89727363,3,0,-1,0,-1,0,0,0,0,0,0,-1,-1,0,-1,0,1,-1,0,0,0,-1,0,0,0,0,-1,1,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,0,-1,0,-1,0,0,-1,0,-1,0,0,-1,-1,0,0,1,0,0,0,0,0,0,1,-1,0,0,0,0,-1,0,0,-1,-1,0,0,0,0,0,0,-1,0,-1,-1,-1,0,0,0,1,-1,0,0,-1,-1
FGFR2,10,123051158,123681745,63,0,-1,-1,-1,0,0,0,-1,0,0,-1,0,0,-1,0,1,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,-1,0,-1,2,-1,0,0,-1,0,-1,0,0,-1,0,-1,0,0,1,-1,0,-1,-1,0,0,0,0,-1,0,1,-1,0,0,0,0,-1,0,0,-1,-1,2,0,0,0,0,0,-1,0,-1,-1,-1,0,0,0,1,-1,0,0,-1,0
GATA3,10,7653937,9348858,103,0,0,0,-1,0,0,0,1,0,1,-1,1,-1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,-1,0,0,0,0,0,1,0,0,0,1,0,-1,0,0,0,-1,0,1,0,0,1,0,0,-1,0,1,0,1,1,2,0,0,1,1,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,-1,0,1,1,0,0,1,0,1,0,0,0,1,0
MASTL,10,27375620,30712263,281,0,0,0,-1,0,0,0,1,0,1,-1,1,-1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,0,0,1,0,-1,0,1,0,-1,0,1,0,0,1,0,0,0,0,1,0,1,1,-1,0,1,0,1,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,-1,0,0,1,1,-1,1,0,-1,0,0,1,0,0,1,0,1,0,0,0,1,0
ATM,11,107409719,109050102,128,-1,-1,0,-1,-1,-1,-1,0,0,-1,-1,0,0,-1,0,1,-1,-1,0,0,-1,0,-1,0,-1,0,0,0,0,0,-1,0,-1,0,-1,0,0,0,0,0,0,-1,1,-1,-1,1,0,-1,0,0,0,0,0,-1,-1,0,0,-1,0,0,0,-1,0,1,0,0,0,-1,0,0,0,0,-1,0,-1,0,0,0,-1,-1,2,0,1,-1,0,0,-1,-1,-1,0,0,0,0,0,0,-1,-1,0,0,0
H19/LSP1,11,297092,3320321,373,0,0,0,-1,-1,0,-1,-1,0,-1,0,0,-1,-1,0,1,-1,0,0,0,0,0,0,-1,0,0,0,0,-1,1,0,0,1,0,0,0,-1,0,0,0,0,0,0,-1,0,1,1,1,0,0,1,0,0,-1,0,-1,0,-1,0,-1,0,0,-1,0,0,-1,0,0,-1,1,-1,0,-1,-1,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,-1,0,-1,-1,0,0,-1,0,0,-1,0,1,-1
MRE11(A),11,89496302,95731868,491,-1,0,0,1,-1,-1,-1,0,0,-1,-1,0,0,-1,0,1,-1,-1,0,0,-1,0,-1,0,-1,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,-1,0,-1,-1,1,0,-1,0,0,1,0,0,-1,-1,0,0,-1,0,0,0,-1,0,1,0,0,0,-1,0,0,0,0,-1,0,-1,0,0,0,-1,-1,2,0,1,-1,0,0,-1,-1,-1,0,0,0,0,0,0,-1,0,0,0,0
CCND1,11,68972488,69191919,16,-1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,2,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,-1,0,0,0,2,0,1,0,0,0,1,0,1,-1,0,0,0,1,0,1,0,0,2,1,1,0,1,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0
TIRAP,11,124303180,130667119,520,-1,-1,0,-1,-1,-1,-1,0,0,-1,-1,1,0,-1,0,1,-1,-1,0,0,-1,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,-1,-1,-1,-1,1,0,-1,-1,0,0,0,0,-1,-1,0,0,-1,0,0,0,-1,-1,1,0,0,0,-1,0,0,0,0,-1,0,-1,0,0,0,0,-1,2,0,1,-1,0,0,-1,-1,-1,0,0,0,1,0,0,-1,-1,0,0,0
CDKN1B,12,12157656,12837059,85,0,0,0,-1,-1,-1,0,-1,0,0,0,1,-1,0,0,1,-1,0,0,0,0,1,1,-1,0,1,0,0,0,1,1,0,0,-1,1,1,-1,0,0,0,0,0,0,1,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,-1,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,1,0,1,-1,0,0,0,0,1,0,-1,0,0,0,1,0,0,0,1,0
TBX3,12,112932396,115188305,114,0,0,-1,-1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,-1,0,1,0,-1,0,1,-1,0,1,0,0,0,1,-1,-1,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
KRT5,12,49299695,51238169,253,1,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,1,0,0,0,-1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,-1,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,1,0,0,0,0,0,1,-1,0,1,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,-1,0,-1,0,0,0,0,0,0,0,1,0
IL22,12,66035532,66948440,56,1,2,0,-1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,0,1,0,0,0,1,1,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,0,0,1,0,1,0,1,-1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,2,0,1,0
BRCA2,13,31768319,33387727,173,0,0,0,0,-1,0,0,0,0,0,-1,0,-1,0,0,1,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,1,1,-1,-1,-1,0,0,1,-1,0,-1,0,0,-1,-1,0,0,0,-1,1,0,0,0,1,0,-1,-1,0,0,0,1,0,0,-1,0,0,0,0,0,-1,-1,0,1,1,0,0,1,0,-1,0,0,0,0,0,0,-1,0,-1,0,-1,0
RB1,13,47691104,47937120,32,0,0,0,-1,-1,0,-1,0,0,0,-1,-1,-1,0,0,1,-1,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,-1,-1,0,0,-1,0,0,1,-1,-1,-1,-1,0,0,1,-1,-1,-1,0,-1,-1,-1,-1,0,0,-1,1,0,0,-1,-1,0,-1,-1,0,0,0,1,0,0,-1,0,0,0,0,0,-1,-1,0,0,1,0,0,1,0,-1,-1,0,-1,0,0,0,-1,0,-1,0,-1,0
RB1,13,47948924,51937853,440,0,0,0,-1,-1,0,-1,0,0,0,-1,-1,-1,0,0,1,-1,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,-1,-1,0,0,-1,0,0,1,-1,-1,-1,-1,0,0,1,-1,0,-1,0,-1,-1,-1,-1,0,0,-1,1,0,0,-1,-1,0,-1,-1,0,0,0,1,0,0,-1,0,0,0,0,0,-1,-1,0,0,1,0,0,1,0,-1,-1,0,-1,0,0,0,-1,0,-1,0,-1,0
AKT1,14,103664534,104533357,133,0,-1,1,-1,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,-1,0,1,0,1,1,0,0,2,0,0,0,0,-1,0,0,-1,-1,-1,0,0,-1,-1,-1,0,0,0,-1,-1,0,1,1,0,0,0,-1,1,0,0,0,0,0,1,-1,0,0,0,0,-1,0,0,-1,-1,0,0,1,1,0,0,-1,-1,0,1,-1,0,0,0,0,0,-1,0,0,0
RAD51,15,32796260,39569934,687,-1,0,-1,-1,0,0,0,0,0,0,0,0,-1,-1,0,1,1,0,0,0,0,-1,0,0,0,0,0,-1,0,1,0,-1,1,1,0,1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,0,0,0,0,-1,-1,0,-1,0,0,0,0,-1,1,0,0,0,0,-1,0,-1,0,-1,0,0,-1,0,0,0,-1,0,0,0,0,0,-1,-1,0,0,-1,-1,0,0,1,0,0,0,0,0,0
CYP19A1,15,48406757,51888263,353,-1,0,-1,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,1,0,0,0,-1,0,0,0,0,0,0,-1,0,1,0,-1,1,1,0,1,-1,0,-1,0,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,0,-1,0,0,-1,0,0,0,0,1,1,0,0,0,0,-1,0,1,0,-1,0,0,-1,0,0,0,-1,0,0,0,0,0,-1,-1,0,0,-1,-1,0,0,1,0,0,0,0,0,0
CDH1,16,67314736,68371045,124,1,0,-1,0,-1,0,-1,-1,0,-1,-1,1,0,0,0,0,0,0,-1,-1,0,-1,1,1,-1,-1,0,2,0,0,-1,-1,1,0,-1,0,0,1,0,0,-1,0,-1,0,0,0,0,1,-1,0,0,-1,-1,0,-1,0,0,-1,1,0,-1,0,-1,0,1,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,-1,-1,1,0,1,0,0,-1,0,0,0,0,0,0,1,-1,0,0,-1,0,-1,0
PALB2,16,23257230,25462573,235,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1,-1,1,0,-1,1,0,0,0,0,1,0,-1,0,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-1,1,1,0,0,1,-1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
CBFB,16,63246412,66317225,283,1,0,-1,0,-1,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,-1,-1,0,-1,1,1,-1,-1,0,-1,0,0,-1,-1,1,0,-1,0,0,1,0,0,-1,0,-1,0,0,0,0,1,-1,0,0,-1,-1,0,-1,0,0,-1,1,0,-1,0,-1,0,1,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,-1,-1,1,0,1,0,0,-1,0,0,0,0,0,0,1,-1,0,0,-1,0,-1,0
CDH3,16,66324844,67303969,127,1,0,-1,0,-1,0,-1,-1,0,-1,-1,1,0,0,0,0,0,0,-1,-1,0,-1,1,1,-1,-1,0,-1,0,0,-1,-1,1,0,-1,0,0,1,0,0,-1,0,-1,0,0,0,0,1,-1,0,0,-1,-1,0,-1,0,0,-1,1,0,-1,0,-1,0,1,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,-1,-1,1,0,1,0,0,-1,0,0,0,0,0,0,1,-1,0,0,-1,0,-1,0
BRCA1,17,38077519,38710043,88,-1,0,-1,1,0,-1,-1,-1,0,-1,0,0,-1,-1,0,1,1,-1,0,-1,-1,-1,0,-1,0,-1,-1,1,0,0,0,0,0,-1,1,0,-1,0,0,0,-1,-1,-1,-1,0,0,-1,-1,1,0,-1,0,0,-1,-1,-1,0,-1,0,1,0,0,-1,1,1,-1,0,-1,-1,-1,-1,-1,-1,0,0,-1,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,1,-1
TP53,17,5343504,7517491,247,-1,-1,-1,-1,0,-1,0,-1,0,-1,-1,0,-1,-1,0,0,-1,-1,0,-1,-1,-1,0,-1,0,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,0,0,-1,-1,0,0,-1,0,-1,-1,0,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,0,0,-1,0,0,-1,1,0,0,0,-1,0,-1,0,0,-1,-1,-1,0,0,0,0,0,-1,0,1,-1
